event_id,particle_index,pdg,charge,pt,eta,phi,mass,energy,is_final
15,46,22,0,0.0593711,-2.90775,0.530631,0,0.545326,1
15,47,22,0,0.0422547,-1.34391,0.986269,0,0.0865131,1
15,48,22,0,0.0450864,1.0865,1.32245,0,0.0744214,1
15,49,22,0,0.0845655,-0.401857,-0.852737,0,0.0914861,1
15,50,22,0,0.375091,0.163671,-1.3539,0,0.380126,1
16,9,-211,-1,0.195495,2.18577,-2.03719,0.13957,0.891683,1
16,12,2212,1,0.443723,-3.78179,2.55831,0.93827,9.78862,1
16,13,2212,1,0.307993,3.80266,1.60387,0.93827,6.96906,1
16,14,211,1,0.306399,2.5638,-0.408242,0.13957,2.00597,1
16,15,22,0,0.199772,-0.216072,-1.19511,0,0.204453,1
16,16,22,0,0.133781,0.30877,-0.551704,0,0.140209,1
17,17,-211,-1,0.789334,0.501892,0.77637,0.13957,0.901721,1
17,19,-211,-1,0.256667,-1.10365,0.588263,0.13957,0.451617,1
17,20,2212,1,0.407307,-0.897214,2.56055,0.93827,1.1044,1
17,27,-211,-1,0.683649,-0.113757,0.215677,0.13957,0.70209,1
17,28,211,1,1.07515,-1.20171,-1.24558,0.13957,1.9545,1
17,30,-211,-1,0.348761,-1.75309,2.88053,0.13957,1.04615,1
17,31,211,1,0.471591,-1.17055,-2.69385,0.13957,0.844899,1
17,33,211,1,0.265393,-1.48871,-2.90197,0.13957,0.633537,1
17,35,211,1,0.28146,2.24189,-2.54837,0.13957,1.34663,1
17,36,-211,-1,0.580547,1.57941,-0.325555,0.13957,1.47488,1
17,37,211,1,0.862959,0.988581,2.12968,0.13957,1.32748,1
17,39,2112,0,0.596734,-1.79364,1.36774,0.93957,2.06886,1
17,40,211,1,0.168421,-2.67729,-1.73997,0.13957,1.23857,1
17,41,22,0,0.483957,2.04155,-1.74251,0,1.89526,1
17,42,22,0,0.206897,2.32547,-2.06136,0,1.06854,1
17,43,22,0,0.0444862,-0.131188,1.75581,0,0.0448696,1
17,44,22,0,0.279606,-1.23053,1.39398,0,0.519392,1
17,45,22,0,0.167054,0.396167,2.75604,0,0.180336,1
17,46,22,0,0.119512,1.12458,-2.91941,0,0.203392,1
17,47,22,0,0.27916,1.77462,-1.52534,0,0.846917,1
